timestamp,position_x,position_y,position_z,tof_distance,left_data,right_data
1723217045.4013193,0.0,0.0,0.0,1649,22.21442125237192,15.055368319691866
1723217045.6033604,-7e-05,2e-05,0.0,1649,22.21442125237192,15.055368319691866
1723217045.807343,-6e-05,0.00011,0.0,1652,22.21442125237192,15.055368319691866
1723217045.8216577,-4e-05,0.00014,0.0,1651,22.21442125237192,15.055368319691866
1723217046.0064676,-9e-05,0.0001,0.0,1650,22.21442125237192,15.055368319691866
1723217046.0222013,-7e-05,6e-05,0.0,1650,22.21442125237192,15.055368319691866
1723217046.205308,-8e-05,7e-05,0.0,1653,21.597722960151806,14.766490129995187
1723217046.228059,-0.00013,5e-05,0.0,1650,21.597722960151806,14.766490129995187
1723217046.4126513,-0.00015,4e-05,0.0,1649,21.597722960151806,14.766490129995187
1723217046.627725,-0.00018,3e-05,0.0,1653,21.597722960151806,14.766490129995187
1723217046.640552,-0.00016,4e-05,0.0,1651,21.597722960151806,14.766490129995187
1723217046.8292344,-0.00019,3e-05,0.0,1651,21.597722960151806,14.766490129995187
1723217046.8465023,-0.0002,6e-05,0.0,1648,21.597722960151806,14.766490129995187
1723217047.036611,-0.00017,8e-05,0.0,1652,21.597722960151806,14.766490129995187
1723217047.2089887,-0.00017,0.00011,0.0,1647,21.597722960151806,14.766490129995187
1723217047.4449492,-0.00014,0.00011,0.0,1651,21.834914611005697,15.344246509388542
1723217047.6507115,9e-05,-0.00071,0.0,1650,21.834914611005697,15.344246509388542
1723217047.6584513,0.00044,-0.0008,0.0,1652,21.834914611005697,15.344246509388542
1723217047.851521,0.00095,-0.00086,0.0,1649,21.834914611005697,15.344246509388542
1723217047.8609157,0.00136,-0.00075,0.0,1651,21.834914611005697,15.344246509388542
1723217047.9756777,0.0015,-0.00081,0.0,1650,21.834914611005697,15.344246509388542
1723217048.0645835,0.00229,-0.00085,0.0,1655,21.834914611005697,15.344246509388542
1723217048.233778,0.03868,-0.00133,0.0,1649,21.834914611005697,15.344246509388542
1723217048.2679513,0.1029,-0.00345,0.0,1652,21.834914611005697,15.344246509388542
1723217048.3597212,0.16742,-0.00687,0.0,1653,22.546489563567363,15.368319691863265
1723217048.4962184,0.21692,-0.00963,0.0,1653,22.546489563567363,15.368319691863265
